Mob Justice 0.6
Mogg Bombers 0.6
Mogg Flunkies 0.7
Mogg Infestation 0.5
Mogg Maniac 0.3
Morgue Thrull 0.4
Mortuary 0.2
Mox Diamond 0.4
Mulch 0.2
Nomads en-Kor 0.5
Overgrowth 0.5
Portcullis 0.3
Primal Rage 0.2
Provoke 0.5
Pursuit of Knowledge 0.7
Rabid Rats 0.5
Ransack 0.1
Rebound 0.1
Reins of Power 0.35
Revenant 0.7
Rolling Stones 0.1
Ruination 0.1
Sacred Ground 0.1
Samite Blessing 0.4
Scapegoat 0.3
Seething Anger 0.3
Serpent Warrior 0.55
Shaman en-Kor 0.7
Shard Phoenix 0.8
Shifting Wall 0.7
Shock 0.7
Sift 0.72
Silver Wyvern 0.8
Skeleton Scavengers 0.7
Skyshroud Archer 0.3
Skyshroud Falcon 0.3
Skyshroud Troopers 0.6
Sliver Queen 0.35
Smite 0.7
Soltari Champion 0.8
Spike Breeder 0.75
Spike Colony 0.8
Spike Feeder 0.8
Spike Soldier 0.74
Spike Worker 0.7
Spindrift Drake 0.7
Spined Sliver 0.6
Spined Wurm 0.65
Spirit en-Kor 0.73
Spitting Hydra 0.8
Stronghold Assassin 0.9
Stronghold Taskmaster 0.55
Sword of the Chosen 0.2
Temper 0.6
Tempting Licid 0.65
Thalakos Deceiver 0.8
Tidal Surge 0.6
Tidal Warrior 0.34
Torment 0.3
Tortured Existence 0.5
Venerable Monk 0.42
Verdant Touch 0.6
Victual Sliver 0.4
Volrath's Gardens 0.5
Volrath's Laboratory 1.0
Volrath's Shapeshifter 0.41
Volrath's Stronghold 0.6
Walking Dream 0.5
Wall of Blossoms 0.6
Wall of Essence 0.6
Wall of Razors 0.6
Wall of Souls 0.6
Wall of Tears 0.6
Warrior Angel 0.8
Warrior en-Kor 0.7
Youthful Knight 0.6

;Onslaught
;White 

Akroma's Blessing 0.4
Akroma's Vengeance 1.0
Ancestor's Prophet 0.5
Astral Slide 0.4
Aura Extraction 0.2
Aurification 0.3
Aven Brigadier 1.0
Aven Soulgazer 0.8
Battlefield Medic 0.6
Catapult Master 0.5
Catapult Squad 0.6
Chain of Silence 0.3
Circle of Solace 0.5 
Convalescent Care 0.6
Crowd Favorites 0.2
Crown of Awe 0.4
Crude Rampart 0.5
Daru Cavalier 0.2+CountBy(Name,"Daru Cavalier",0.1)
Daru Healer 0.4
Daru Lancer 0.8
Daunting Defender 0.5
Dawning Purist 0.3
Defensive Maneuvers 0.3
Demystify 0.2
Disciple of Grace 0.4
Dive Bomber 0.35
Doubtless One 0.3
Exalted Angel 1.0
Foothill Guide 0.3
Glarecaster 0.9
Glory Seeker 0.7
Grassland Crusader 0.2
Gravel Slinger 0.4
Gustcloak Harrier 0.9
Gustcloak Runner 0.3
Gustcloak Savior 1.0
Gustcloak Sentinel 0.5
Gustcloak Skirmisher 0.6
Harsh Mercy 0.9
Improvised Armor 0.5
Inspirit 0.6
Ironfist Crusher 0.3
Jareth, Leonine Titan 1.0
Mobilization 0.8
Nova Cleric 0.4
Oblation  0.8
Pacifism 0.9
Pearlspear Courier 0.5
Piety Charm 0.4
Renewed Faith 0.4
Righteous Cause 0.7
Sandskin 0.4
Shared Triumph 0.7
Shieldmage Elder 0.4
Sigil of the New Dawn 1.0
Sunfire Balm 0.5
True Believer 0.6
Unified Strike 0.3
Weathered Wayfarer 0.9
Whipcorder 0.9
Words of Worship 0.1

;Blue

Airborne Aid 0.2
Annex 0.3
Aphetto Alchemist 0.4
Aphetto Grifter 0.8
Arcanis the Omnipotent 1.0
Artificial Evolution 0.2
Ascending Aven 0.7
Aven Fateshaper 0.7
Backslide 0.3
Blatant Thievery 0.8
Callous Oppressor 1.0
Chain of Vapor 0.6
Choking Tethers 0.6
Clone 0.8
Complicate 0.7
Crafty Pathmage 0.2
Crown of Ascension 0.2
Discombobulate 0.5
Dispersing Orb 0.8
Disruptive Pitmage 0.4
Essence Fracture 0.4
Fleeting Aven 0.5
Future Sight 1.0
Ghosthelm Courier 0.41
Graxiplon 0.2
Imagecrafter 0.35
Information Dealer 0.25
Ixidor, Reality Sculptor 0.5
Ixidor's Will 0.2
Mage's Guile 0.4
Meddle 0.5
Mistform Dreamer 0.7
Mistform Mask 0.6
Mistform Mutant 0.3
Mistform Shrieker 0.7
Mistform Skyreaver 0.9
Mistform Stalker 0.4
Mistform Wall 0.6
Nameless One 0.2
Peer Pressure 0.2
Psychic Trance 0.5
Quicksilver Dragon 1.0
Read the Runes 0.5
Reminisce 0.1
Riptide Biologist 0.5
Riptide Chronologist 0.0
Riptide Entrancer 0.25
Riptide Shapeshifter 0.7
Rummaging Wizard 0.2
Sage Aven 0.35
Screaming Seahawk 0.2+CountBy(Name,"Screaming Seahawk",0.1)
Sea's Claim 0.0
Slipstream Eel 0.5
Spy Network 0.2
Standardize 0.0
Supreme Inquisitor 0.3
Trade Secrets 0.2
Trickery Charm 0.2
Voidmage Prodigy 0.8
Wheel and Deal 0.0
Words of Wind 0.0

;Black 
Accursed Centaur 0.0
Anurid Murkdiver 0.4
Aphetto Dredging 0.6
Aphetto Vulture 0.3
Blackmail 0.6
Boneknitter 0.7
Cabal Archon 0.6+CountBy(SubType,Cleric,0.08)
Cabal Executioner 0.3
Cabal Slaver 0.3+CountBy(SubType,Goblin,0.01)
Chain of Smog 0.5
Cover of Darkness 0.7
Crown of Suspicion 0.6
Cruel Revival 0.9
Death Match 0.5
Death Pulse 0.8
Dirge of Dread 0.5
Disciple of Malice 0.4
Doomed Necromancer 0.8
Ebonblade Reaper 0.2
Endemic Plague 0.3
Entrails Feaster 0.2
Fade from Memory 0.4
Fallen Cleric 0.4
False Cure 0.0
Feeding Frenzy 0.2
Festering Goblin 0.7
Frightshroud Courier 0.6
Gangrenous Goliath 0.7
Gluttonous Zombie 0.6
Gravespawn Sovereign 0.5
Grinning Demon 0.7
Haunted Cadaver 0.4
Head Games 0.3
Headhunter 0.7
Infest 1.0
Misery Charm 0.25+2*CountBy(SubType,Cleric,0.01)
Nantuko Husk 0.75
Oversold Cemetery 1.0
Patriarch's Bidding 0.6
Profane Prayers 0.2+2*CountBy(SubType,Cleric,0.01)
Prowling Pangolin 0.8
Rotlung Reanimator 0.35+CountBy(SubType,Cleric,0.08)
Screeching Buzzard 0.7
Severed Legion 0.65
Shade's Breath 0.4
Shepherd of Rot 0.5
Silent Specter 1.0
Smother 0.7
Soulless One 0.3+1.5*CountBy(SubType,Zombie,0.03)
Spined Basher 0.4
Strongarm Tactics 0.7
Swat 0.8
Syphon Mind 0.2
Syphon Soul 0.2
Thrashing Mudspawn 0.5
Undead Gladiator 0.7
Visara the Dreadful 1.3
Walking Desecration 0.7
Withering Hex 0.2
Words of Waste 0.2 
Wretched Anurid 0.4

;Red
Aether Charge 0.5
Aggravated Assault 0.4
Airdrop Condor 0.35+2.5*CountBy(SubType,Goblin,0.01)
Avarax 0.6+CountBy(Name,"Avarax",0.1)
Battering Craghorn 0.6
Blistering Firecat 0.7
Break Open 0.1
Brightstone Ritual 0.0
Butcher Orgg 0.9
Chain of Plasma 0.8
Charging Slateback 0.4
Commando Raid 0.5
Crown of Fury 0.55
Custody Battle 0.5
Dragon Roost 0.9
Dwarven Blastminer 0.3
Embermage Goblin 0.7+2*CountBy(Name,"Embermage Goblin",0.1)
Erratic Explosion 0.6
Fever Charm 0.4
Flamestick Courier 0.5
Goblin Machinist 0.6
Goblin Piledriver 0.3+2*CountBy(SubType,Goblin,0.03)
Goblin Pyromancer 0.1
Goblin Sharpshooter 1.0
Goblin Sky Raider 0.2
Goblin Sledder 0.5
Goblin Taskmaster 0.5
Grand Melee 0.4
Gratuitous Violence 0.8
Insurrection 0.9
Kaboom! 0.2
Lavamancer's Skill 0.4+CountBy(SubType,Wizard,0.05)
Lay Waste 0.3
Lightning Rift 0.2+1.2*CountBy(Text,Cycling,0.05)
Mana Echoes 0.1
Menacing Ogre 0.9
Nosy Goblin 0.3
Pinpoint Avalanche 0.75
Reckless One 0.2+CountBy(SubType,Goblin,0.03)
Risky Move 0.1
Rorix Bladewing 1.1
Searing Flesh 0.6
Shaleskin Bruiser 0.4
Shock 0.85
Skirk Commando 0.71
Skirk Fire Marshal 0.2
Skirk Prospector 0.2
Skittish Valesk 0.2
Slice and Dice 0.9
Snapping Thragg 0.5
Solar Blast 0.8
Sparksmith 1.1
Spitfire Handler 0.5
Spurred Wolverine 0.2
Starstorm 1.0
Tephraderm 0.9
Thoughtbound Primoc 0.6
Threaten 0.7
Thunder of Hooves 0.2+3*CountBy(SubType,Beast,0.02)
Wave of Indifference 0.5
Words of War 0.8

;Green

Animal Magnetism 0.3
Barkhide Mauler 0.6
Biorhythm 0.2
Birchlore Rangers 0.3
Bloodline Shaman 0.3
Broodhatch Nantuko 0.4
Centaur Glade 0.8
Chain of Acid 0.4
Crown of Vigor 0.2
Elven Riders 0.7
Elvish Guidance 0.1
Elvish Pathcutter 0.2
Elvish Pioneer 0.2
Elvish Scrapper 0.2
Elvish Vanguard 0.4
Elvish Warrior 0.7
Enchantress's Presence 0.0
Everglove Courier 0.3
Explosive Vegetation 0.7
Gigapede 0.8
Heedless One 0.2+2*CountBy(SubType,Elf,0.02)
Hystrodon 0.8
Invigorating Boon 0.3
Kamahl, Fist of Krosa 1.1
Kamahl's Summons 0.0
Krosan Colossus 0.5
Krosan Groundshaker 0.4
Krosan Tusker 0.66
Leery Fogbeast 0.45
Mythic Proportions 1.0
Naturalize 0.3
Overwhelming Instinct 0.2
Primal Boost 0.8
Ravenous Baloth 0.9
Run Wild 0.5
Serpentine Basilisk 0.6
Silklash Spider 0.9
Silvos, Rogue Elemental 1.1
Snarling Undorak 0.91
Spitting Gourna 0.7
Stag Beetle 0.9
Steely Resolve 0.4
Symbiotic Beast 0.5+4*CountBy(Name,"Nantuko Husk",0.025)
Symbiotic Elf 0.5+4*CountBy(Name,"Nantuko Husk",0.025)
Symbiotic Wurm 0.6+4*CountBy(Name,"Nantuko Husk",0.025)
Taunting Elf 0.4
Tempting Wurm 0.4
Towering Baloth 0.5
Treespring Lorian 0.5
Tribal Unity 0.4
Venomspout Brackus 0.8
Vitality Charm 0.6
Voice of the Woods 0.25+3*CountBy(SubType,Elf,0.005)
Wall of Mulch 0.6
Weird Harvest 0.0
Wellwisher 0.34+2*CountBy(SubType,Elf,0.02)
Wirewood Elf 0.6
Wirewood Herald 0.3+2*CountBy(SubType,Elf,0.01)
Wirewood Pride 0.1+2.5*CountBy(SubType,Elf,0.02)
Wirewood Savage 0.9+0*CountBy(SubType,Beast,0.06)
Words of Wilding 0.3

;Lands & Artifacts

Grand Coliseum 0.5
Doom Cannon 0.7
Dream Chisel 0.0
Riptide Replicator 0.8
Slate of Ancestry 0.8
Tribal Golem 0.6

;Legions
;White

Akroma, Angel of Wrath 1.1
Akroma's Devoted 0.5
Aven Redeemer 0.7
Aven Warhawk 0.4+CountBy(SubType,Soldier,0.02)
Beacon of Destiny 0.5
Celestial Gatekeeper 0.6+CountBy(SubType,Cleric,0.02)+CountBy(SubType,Bird,0.02)
Cloudreach Cavalry 0.45+CountBy(SubType,Bird,0.08)
Daru Mender 0.2
Daru Sanctifier 0.4
Daru Stinger 0.6+1.1*CountBy(SubType,Soldier,0.05)
Defender of the Order 0.4
Deftblade Elite 0.7
Essence Sliver 0.8
Gempalm Avenger 0.3+CountBy(SubType,Soldier,0.04)
Glowrider 0.0
Liege of the Axe 0.4
Lowland Tracker 0.3
Planar Guide 0.5
Plated Sliver 0.2
Starlight Invoker 0.35
Stoic Champion 0.7
Sunstrike Legionnaire 0.6
Swooping Talon 0.4
Wall of Hope 0.4
Ward Sliver 0.2
Whipgrass Entangler 0.65+0.5*CountBy(SubType,Cleric,0.08)
White Knight 0.6
Windborn Muse 1.0
Wingbeat Warrior 0.7

;blUe

Aven Envoy 0.0
Cephalid Pathmage 0.2
Chromeshell Crab 0.9
Covert Operative 0.6
Crookclaw Elder 0.4
Dermoplasm 0.3
Dreamborn Muse 0.2
Echo Tracer 0.5
Fugitive Wizard 0.0
Gempalm Sorcerer 0.3
Glintwing Invoker 0.4
Keeneye Aven 0.7
Keeper of the Nine Gales 0.3+4*CountBy(SubType,Bird,0.01)
Master of the Veil 0.5
Merchant of Secrets 0.2
Mistform Seaswift 0.7
Mistform Sliver 0.2
Mistform Ultimus 0.6
Mistform Wakecaster 0.4
Primoc Escapee 0.5
Riptide Director 0.8
Riptide Mangler 0.6
Shifting Sliver 0.4
Synapse Sliver 0.5
Voidmage Apprentice 0.3
Wall of Deceit 0.5
Warped Researcher 0.6
Weaver of Lies 0.8
Willbender 0.6

;Black

Aphetto Exterminator 0.9
Bane of the Living 1.2
Blood Celebrant 0.0
Corpse Harvester 0.8
Crypt Sliver 0.5
Dark Supplicant 0.0+100*CountBy(Name,"Scion of Darkness",0.05)*CountBy(SubType,Cleric,0.01)
Deathmark Prelate 0.7
Drinker of Sorrow 0.4
Dripping Dead 0.1
Earthblighter 0.0
Embalmed Brawler 0.6
Gempalm Polluter 0.3+CountBy(SubType,Zombie,0.04)
Ghastly Remains 0.2
Goblin Turncoat 0.5
Graveborn Muse 1.0
Havoc Demon 0.8
Hollow Specter 0.9
Infernal Caretaker 0.5
Noxious Ghoul 0.85+0.2*CountBy(SubType,Zombie,0.08)
Phage the Untouchable 0.5
Scion of Darkness 0.71
Skinthinner 0.85
Smokespew Invoker 0.7
Sootfeather Flock 0.6
Spectral Sliver 0.75
Toxin Sliver 0.7
Vile Deacon 0.6
Withered Wretch 0.6
Zombie Brute 0.3

;Green

Berserk Murlodont 0.5
Branchsnap Lorian 0.7
Brontotherium 0.6
Brood Sliver 0.4
Caller of the Claw 0.8
Canopy Crawler 0.9
Defiant Elf 0.0
Elvish Soultiller 0.7
Enormous Baloth 0.4
Feral Throwback 0.9
Gempalm Strider 0.6+0.5*CountBy(SubType,Elf,0.03)
Glowering Rogon 0.4
Hundroog 0.3
Krosan Cloudscraper 0.4
Krosan Vorine 0.8
Nantuko Vigilante 0.5
Needleshot Gourna 0.6
Patron of the Wild 0.5
Primal Whisperer 0.6
Quick Sliver 0.0
Root Sliver 0.0
Seedborn Muse 0.8
Stonewood Invoker 0.75
Timberwatch Elf 0.8+0.5*CountBy(SubType,Elf,0.07)
Totem Speaker 0.4
Tribal Forcemage 0.8
Vexing Beetle 0.2
Wirewood Channeler 0.7
Wirewood Hivemaster 0.3+3*CountBy(SubType,Elf,0.01)

;Red

Blade Sliver 0.4
Bloodstoke Howler 0.5
Clickslither 0.2+CountBy(SubType,Goblin,0.05)
Crested Craghorn 0.6
Flamewave Invoker 0.4
Frenetic Raptor 0.7+3*CountBy(SubType,Beast,-0.01)
Gempalm Incinerator 0.45*1.2*CountBy(SubType,Goblin,0.03)
Goblin Assassin 0.2
Goblin Clearcutter 0.1
Goblin Dynamo 0.6
Goblin Firebug 0.4
Goblin Goon 0.7
Goblin Grappler 0.31
Goblin Lookout 0.2
Hunter Sliver 0.3
Imperial Hellkite 0.9
Kilnmouth Dragon 0.9
Lavaborn Muse 0.9
Macetail Hystrodon 0.4
Magma Sliver 0.5
Ridgetop Raptor 0.4
Rockshard Elemental 0.5
Shaleskin Plower 0.3
Skirk Alarmist 0.0
Skirk Drill Sergeant 0.4
Skirk Marauder 0.7
Skirk Outrider 0.2+1.5*CountBy(SubType,Beast,0.03)
Unstable Hulk 0.6
Warbreak Trumpeter 0.4

;
; Scourge
;

Ageless Sentinels 0.8
Astral Steel 0.55
Aven Farseer 0.72
Aven Liberator 0.7
Daru Spiritualist 0.5
Daru Warchief 0.9
Dawn Elemental 0.4
Decree of Justice 1.0
Dimensional Breach 0.2
Dragon Scales 0.85
Dragon Stalker 0.7
Eternal Dragon 1.0
Exiled Doomsayer 0.4
Force Bubble 0.45
Frontline Strategist 0.5+1.2*CountBy(SubType,Soldier,0.05)
Gilded Light 0.3
Guilty Conscience 0.3
Karona's Zealot 0.7
Noble Templar 0.8
Rain of Blades 0.3
Recuperate 0.2
Reward the Faithful 0.1
Silver Knight 0.7
Trap Digger 0.4
Wing Shards 0.9
Wipe Clean 0.4
Zealous Inquisitor 0.6

; Blue

Aphetto Runecaster 0.5
Brain Freeze 0.1
Coast Watcher 0.45
Day of the Dragons 1.0
Decree of Silence 0.2
Dispersal Shield 0.5
Dragon Wings 0.35
Faces of the Past 0.1
Frozen Solid 0.72
Hindering Touch 0.4
Long-Term Plans 0.6
Mercurial Kite 0.5
Metamorphose 0.6
Mind's Desire 0.1
Mischievous Quanar 0.6
Mistform Warchief 0.2
Parallel Thoughts 0.5
Pemmin's Aura 0.8
Raven Guild Initiate 0.7
Raven Guild Master 0.3
Riptide Survivor 0.5
Rush of Knowledge 0.9
Scornful Egotist 0.4
Shoreline Ranger 0.8
Stifle 0.4
Temporal Fissure 0.2
Thundercloud Elemental 0.6

; Black

Bladewing's Thrall 0.6
Cabal Conditioning 0.1
Cabal Interrogator 0.5
Call to the Grave 1.0+CountBy(SubType,Zombie,0.05)
Carrion Feeder 0.7
Chill Haunting 0.6
Clutch of Undeath 0.75
Consumptive Goo 0.6
Death's-Head Buzzard 0.5
Decree of Pain 1.1
Dragon Shadow 0.47
Fatal Mutation 0.2
Final Punishment 0.2
Lethal Vapors 0.3
Lingering Death 0.8
Nefashu 0.9
Putrid Raptor 0.4+0.5*CountBy(SubType,Zombie,0.05)
Reaping the Graves 0.6
Skull Tap 0.3
Soul Collector 1.0
Tendrils of Anguish 0.2
Twisted Abomination 0.85
Unburden 0.48
Undead Warchief 0.7+2*CountBy(SubType,Zombie,0.02)
Unspeakable Symbol 0.4
Vengeful Dead 0.57
Zombie Cutthroat 0.81

; Red

Bonethorn Valesk 0.5
Carbonize 0.8
Chartooth Cougar 0.65
Decree of Annihilation 0.9
Dragon Breath 0.4
Dragon Mage 0.9
Dragonspeaker Shaman 0.2
Dragonstorm 0.2
Dragon Tyrant 0.9
Enrage 0.3
Extra Arms 0.5
Form of the Dragon 1.1
Goblin Brigand 0.45
Goblin Psychopath 0.2
Goblin Warchief 0.4
Goblin War Strike 0.1
Grip of Chaos 0.1
Misguided Rage 0.3
Pyrostatic Pillar 0.2
Rock Jockey 0.4
Scattershot 0.65
Siege-Gang Commander 1.0
Skirk Volcanist 0.5
Spark Spray 0.63
Sulfuric Vortex 0.4
Torrent of Fire 0.75
Uncontrolled Infestation 0.1

; Green

Accelerated Mutation 0.6
Alpha Status 0.9
Ambush Commander 1.0
Ancient Ooze 0.6
Break Asunder 0.4
Claws of Wirewood 0.45
Decree of Savagery 0.8
Divergent Growth 0.1
Dragon Fangs 0.4
Elvish Aberration 0.5
Fierce Empath 0.7
Forgotten Ancient 0.9
Hunting Pack 0.9
Krosan Drover 0.4
Krosan Warchief 0.8
Kurgadon 0.9
One with Nature 0.2
Primitive Echting 0.7
Root Elemental 0.6
Sprouting Vines 0.5
Titanic Bulvox 0.6
Treetop Scout 0.2
Upwelling 0.1
Wirewood Guardian 0.7
Wirewood Symbiote 0.5
Woodcloaker 0.5
Xantid Swarm 0.1

; Gold

Bladewing the Risen 0.8
Edgewalker 0.3
Karona, False God 0.1
Sliver Overlord 0.1
Ark of Blight 0.2
Proteus Machine 0.5
Stabilizer 0.1

; Land

Temple of the False God 0.0

; Mirrodin
; White

Altar's Light 0.8
Arrest 0.85
Auriok Bladewarden 0.74
Auriok Steelshaper 1.0
Auriok Transfixer 0.7
Awe Strike 0.4
Blinding Beam 0.45
Leonin Abunas 0.75
Leonin Den-Guard 0.68+2*CountBy(Subtype,Equipment,0.05)
Leonin Elder 0.4
Leonin Skyhunter 0.8
Loxodon Mender 0.2
Loxodon Peacekeeper 0.5
Loxodon Punisher 0.4
Luminous Angel 1.1
Raise the Alarm 0.53
Razor Barrier 0.5
Roar of the Kha 0.5
Rule of Law 0.1
Second Sunrise 0.5
Skyhunter Cub 0.75+2*CountBy(Subtype,Equipment,0.05)
Skyhunter Patrol 0.8
Slith Ascendant 0.9
Solar Tide 1.2
Soul Nova 0.85
Sphere of Purity 0.2
Taj-Nar Swordsmith 0.67
Tempest of Light 0.2

; Blue

Annul 0.5
Assert Authority 0.3+3*CountBy(Type,Artifact,0.01)
Broodstar 0.8+CountBy(Type,Artifact,0.03)
Disarm 0.4
Domineer 0.8
Dream's Grip 0.3
Fabricate 0.5+3*CountBy(Type,Artifact,0.01)
Fatespinner 0.6
Inertia Bubble 0.7
Looming Hoverguard 0.7
Lumengrid Augur 0.9
Lumengrid Sentinel 0.4
Lumengrid Warden 0.4
March of the Machines 0.4
Neurok Familiar 0.3
Neurok Spy 0.8
Override 0.6
Psychic Membrane 0.8
Quicksilver Elemental 0.8
Regress 0.5
Shared Fate 0.25
Slith Strider 0.4
Somber Hoverguard 0.7
Temporal Cascade 0.3
Thirst for Knowledge 0.8
Thoughtcast 0.5
Vedalken Archmage 0.8
Wanderguard Sentry 0.4

; Black

Barter in Blood 0.6
Betrayal of Flesh 0.7
Chimney Imp 0.4
Consume Spirit 0.71
Contaminated Bond 0.2
Disciple of the Vault 0.5
Dross Harvester 0.3
Dross Prowler 0.5
Flayed Nim 0.7
Grim Reminder 0.4
Irradiate 0.6+3*CountBy(Type,Artifact,0.01)
Moriok Scavenger 0.6
Necrogen Mists 0.3
Nim Devourer 0.5
Nim Lasher 0.4
Nim Shambler 0.5
Nim Shrieker 0.6
Promise of Power 0.9
Reaver Demon 0.8
Relic Bane 0.7
Slith Bloodletter 0.75
Spoils of the Vault 0.3
Terror 0.7
Vermiculos 0.5
Wail of the Nim 0.6
Wall of Blood 0.7
Woebearer 0.6
Wrench Mind 0.4

; Red

Arc-Slogger 0.8
Atog 0.8
Confusion in the Ranks 0.2
Detonate 0.8
Electrostatic Bolt 0.8
Fiery Gambit 0.3
Fists of the Anvil 0.4
Forge Armor 0.3
Fractured Loyalty 0.4
Goblin Striker 0.3
Grab the Reins 0.8
Incite War 0.45
Krark-Clan Grunt 0.45
Krark-Clan Shaman 0.4
Mass Hysteria 0.1
Megatog 1.0
Molten Rain 0.3
Ogre Leadfoot 0.4
Rustmouth Ogre 0.7
Seething Song 0.1
Shatter 0.8
Shrapnel Blast 0.8
Slith Firewalker 0.6
Spikeshot Goblin 1.0
Trash for Treasure 0.5
Vulshok Battlemaster 0.77
Vulshok Berserker 0.69
War Elemental 0.7

; Green

Battlegrowth 0.6
Bloodscent 0.4
Brown Ouphe 0.3
Copperhoof Vorrac 0.8
Creeping Mold 0.78
Deconstruct 0.8
Fangren Hunter 0.7
Glissa Sunseeker 0.8
Groffskithur 0.2
Hum of the Radix 0.3
Journey of Discovery 0.6
Living Hive 0.6
Molder Slug 0.8
One Dozen Eyes 0.73
Plated Slagwurm 0.9
Predator's Strike 0.61
Slith Predator 0.7
Sylvan Scrying 0.6
Tel-Jilad Archers 0.75
Tel-Jilad Chosen 0.72
Tel-Jilad Exile 0.6
Tooth and Nail 0.4
Troll Ascetic 0.9
Trolls of Tel-Jilad 0.6
Turn to Dust 0.5
Viridian Joiner 0.4
Viridian Shaman 0.81
Wurmskin Forger 0.5

; Artifact

AEther Spellbomb 0.6
Alpha Myr 0.5
Altar of Shadows 0.8
Banshee's Blade 0.9
Blinkmoth Urn 0.2
Bonesplitter 0.8
Bosh, Iron Golem 0.9
Bottle Gnomes 0.5
Cathodian 0.7
Chalice of the Void 0.2
Chromatic Sphere 0.4
Chrome Mox 0.6
Clockwork Beetle 0.1
Clockwork Condor 0.5
Clockwork Dragon 1.0
Clockwork Vorrac 0.8
Cobalt Golem 0.7
Copper Myr 0.5
Crystal Shard 0.88
Culling Scales 0.6
Damping Matrix 0.9
Dead-Iron Sledge 0.5
Dragon Blood 0.7
Dross Scorpion 0.5
Duplicant 0.8
Duskworker 0.6
Elf Replica 0.5
Empyrial Plate 0.9
Extraplanar Lens 0.4
Farsight Mask 0.5
Fireshrieker 0.7
Frogmite 0.4
Galvanic Key 0.3
Gate to the Aether 0.2
Gilded Lotus 0.3
Goblin Charbelcher 0.9
Goblin Dirigible 0.75
Goblin Replica 0.75
Goblin War Wagon 0.7
Gold Myr 0.5
Golem-Skin Gauntlets 0.43
Granite Shard 0.9
Grid Monitor 0.6
Heartwood Shard 0.2
Hematite Golem 0.68
Icy Manipulator 0.9
Iron Myr 0.5
Isochron Scepter 0.6
Jinxed Choker 0.4
Krark's Thumb 0.4
Leaden Myr 0.5
Leonin Bladetrap 0.45
Leonin Scimitar 0.7
Leonin Sun Standard 1.0
Leveler 0.2
Liar's Pendulum 0.55
Lifespark Spellbomb 0.4
Lightning Coils 0.5
Lightning Greaves 0.81
Lodestone Myr 0.55
Loxodon Warhammer 0.9
Malachite Golem 0.7
Mask of Memory 0.8
Mesmeric Orb 0.3
Mind's Eye 0.7
Mindslaver 0.7
Mindstorm Crown 0.45
Mirror Golem 0.79
Mourner's Shield 0.6
Myr Adapter 0.2
Myr Enforcer 0.6
Myr Incubator 0.6
Myr Mindservant 0.1
Myr Prototype 0.5
Myr Retriever 0.5
Necrogen Spellbomb 0.35
Needlebug 0.5
Neurok Hoversail 0.6
Nightmare Lash 0.5
Nim Replica 0.6
Nuisance Engine 0.65
Oblivion Stone 1.2
Omega Myr 0.2
Ornithopter 0.2
Pearl Shard 0.7
Pentavus 0.9
Pewter Golem 0.7
Platinum Angel 1.0
Power Conduit 0.3
Proteus Staff 0.5
Psychogenic Probe 0.2
Pyrite Spellbomb 0.7
Quicksilver Fountain 0.1
Rust Elemental 0.8
Rustspore Ram 0.6
Scale of Chiss-Goria 0.3
Scribbling Claws 0.2
Sculpting Steel 0.8
Scythe of the Wretched 0.8
Serum Tank 0.7
Silver Myr 0.5
Skeleton Shard 0.8
Slagwurm Armor 0.4
Soldier Replica 0.6
Solemn Simulacrum 0.8
Soul Foundry 1.1
Spellweaver Helix 0.2
Steel Wall 0.3
Sun Droplet 0.5
Sunbeam Spellbomb 0.3
Sword of Kaldra 0.9
Synod Sanctum 0.5
Talisman of Dominance 0.5
Talisman of Impulse 0.5
Talisman of Indulgence 0.5
Talisman of Progress 0.5
Talisman of Unity 0.5
Tanglebloom 0.3
Tangleroot 0.1
Tel-Jilad Stylus 0.1
Thought Prison 0.4
Timesifer 0.1
Titanium Golem 0.4
Tooth of Chiss-Goria 0.6
Tower of Champions 0.4
Tower of Eons 0.3
Tower of Fortunes 0.4
Tower of Murmurs 0.4
Triskelion 0.9
Viridian Longbow 0.9
Vorrac Battlehorns 0.4
Vulshok Battlegear 0.7
Vulshok Gauntlets 0.75
Welding Jar 0.4
Wizard Replica 0.6
Worldslayer 0.5
Yotian Soldier 0.52

; Land

Ancient Den 0.4
Blinkmoth Well 0.4
Cloudpost 0.3
Glimmervoid 0.3
Great Furnace 0.4
Seat of Synod 0.4
Tree of Tales 0.4
Vault of Whispers 0.4


; Champions of Kamigawa

; White

Blessed Breath 0.6+CountBy(SubType,Acane,0.04)
Bushi Tenderfoot 0.5+CountBy(Name,"Indomitable Will",0.05)+CountBy(Name,"Kodama's Might",0.05)
Cage of Hands 0.8
Call to Glory 0.3+2*CountBy(SubType,Samurai,0.05)
Candles' Glow 0.5+CountBy(SubType,Acane,0.04)
Cleanfall 0.4
Devoted Retainer 0.5
Eight-and-a-Half-Tails 0.9
Ethereal Haze 0.6
Ghostly Prison 0.5
Harsh Deceiver 0.5
Hikari, Twilight Guardian 1.0+CountBy(SubType,Acane,0.04)+CountBy(SubType,Spirit,0.04)
Hold the Line 0.5
Honden of Cleansing Fire 0.4+CountBy(SubType,Shrine,0.03)
Horizon Seed 0.3+CountBy(SubType,Acane,0.03)+CountBy(SubType,Spirit,0.03)
Hundred-talon Kami 0.6
Indomitable Will 0.7
Innocence Kami 0.6
